00:30.548	ID:2	 47886 934574 12450 11619 0 0 
00:30.659	ID:4	 31924 950537 7100 9969 0 0 
00:31.027	ID:5	 38934 943511 11713 10649 0 0 
00:31.211	ID:3	 39756 942682 9526 10683 0 0 
01:00.555	ID:2	 30542 952159 3364 8472 0 0 
01:00.667	ID:4	 28057 954637 5684 8479 0 0 
01:01.034	ID:5	 25103 957616 3524 7706 0 0 
01:01.218	ID:3	 28369 954317 3092 7762 0 0 
01:30.562	ID:2	 26365 956584 320 8288 1 1 
01:30.675	ID:4	 26374 956568 4566 7777 0 0 
01:31.042	ID:5	 27709 955057 5355 8245 1 0 
01:31.225	ID:3	 23946 958871 151 7267 1 0 
02:00.563	ID:2	 33656 948930 4680 8820 3 2 
02:00.683	ID:4	 33613 949280 8568 9432 1 0 
02:01.049	ID:5	 20658 962060 960 7804 1 0 
02:01.225	ID:3	 25322 957129 160 8636 1 0 
02:30.570	ID:2	 26259 956677 80 9221 3 2 
02:30.690	ID:4	 35511 947364 9472 9640 2 0 
02:31.050	ID:5	 42767 939915 14188 9970 1 0 
02:31.234	ID:3	 36121 946814 5690 10604 2 1 
03:00.570	ID:2	 24158 958514 152 7596 4 2 
03:00.698	ID:4	 23019 959674 3123 7019 2 0 
03:01.057	ID:5	 26498 956356 4782 7582 2 0 
03:01.241	ID:3	 24067 958788 153 7358 4 2 
03:30.570	ID:2	 26362 956331 240 9037 4 2 
03:30.706	ID:4	 35839 947005 9460 10462 3 0 
03:31.066	ID:5	 41248 941576 13597 10974 3 0 
03:31.241	ID:3	 31251 951436 3438 9043 6 4 
04:00.570	ID:2	 23953 958499 71 7799 5 2 
04:00.714	ID:4	 28635 954063 6242 7369 3 0 
04:01.073	ID:5	 29529 953163 6711 7338 3 0 
04:01.249	ID:3	 23960 958738 71 7704 7 4 
04:30.570	ID:2	 24198 958275 153 7992 6 2 
04:30.722	ID:4	 23679 959269 3117 6969 3 0 
04:31.081	ID:5	 23923 959019 3014 7228 3 0 
04:31.249	ID:3	 30601 952083 3599 8729 7 4 
05:00.570	ID:2	 26337 956093 1401 8133 8 4 
05:00.730	ID:4	 22766 960040 2447 8319 4 0 
05:01.089	ID:5	 27170 955706 4753 7886 4 0 
05:01.256	ID:3	 22739 960125 71 7062 8 4 
05:30.578	ID:2	 23345 959432 154 7409 10 5 
05:30.739	ID:4	 23745 959243 3125 7014 4 0 
05:31.096	ID:5	 21863 960897 1942 7998 5 0 
05:31.257	ID:3	 27225 955366 3085 7784 9 4 
06:00.585	ID:2	 21815 960868 81 6819 11 6 
06:00.745	ID:4	 25093 957645 4078 8220 5 0 
06:01.105	ID:5	 19339 963398 231 7147 5 0 
06:01.264	ID:3	 21471 961204 0 6996 9 4 
06:30.586	ID:2	 23222 959474 162 7109 13 8 
06:30.752	ID:4	 19960 962963 647 7046 6 0 
06:31.112	ID:5	 22578 960194 2661 7903 6 0 
06:31.264	ID:3	 21712 960707 72 6802 10 4 
07:00.593	ID:2	 22895 959809 72 7184 14 8 
07:00.785	ID:4	 26260 957247 5064 7697 7 0 
07:01.120	ID:5	 22985 959711 3120 7098 6 0 
07:01.264	ID:3	 21989 960431 0 7030 10 4 
07:30.594	ID:2	 24403 958251 235 7620 17 10 
07:30.791	ID:4	 18348 964308 0 7086 7 0 
07:31.129	ID:5	 23603 959278 2747 7984 7 0 
07:31.265	ID:3	 26560 956127 3363 7643 10 4 
08:00.602	ID:2	 25280 957404 1238 7889 17 10 
08:00.792	ID:4	 40872 941606 14563 9090 7 0 
08:01.134	ID:5	 19262 963426 0 7909 7 0 
08:01.272	ID:3	 25037 957905 152 8102 11 4 
08:30.610	ID:2	 29293 953653 3204 8233 17 10 
08:30.800	ID:4	 32632 950143 7925 9948 8 0 
08:31.136	ID:5	 40936 941744 13377 9411 7 0 
08:31.280	ID:3	 26089 956603 233 8849 13 5 
09:00.617	ID:2	 24754 958039 231 7559 18 10 
09:00.807	ID:4	 17871 964821 0 6480 8 0 
09:01.143	ID:5	 20512 962272 1152 7092 8 0 
09:01.290	ID:3	 23297 959480 162 7202 14 6 
09:30.627	ID:2	 23739 959074 151 7417 19 10 
09:30.808	ID:4	 24044 958647 3118 7266 8 0 
09:31.151	ID:5	 32175 950745 8367 8848 9 0 
09:31.296	ID:3	 24155 958684 153 7740 16 7 
10:00.632	ID:2	 22048 960578 0 7093 19 10 
10:00.816	ID:4	 21522 961219 1331 7391 9 0 
